Zip,State
40033,KY
76857,TX
45720,OH
35660,AL
71039,LA
79066,TX
96748,HI
33465,FL
58505,ND
75061,TX
50578,IA
72351,AR
10606,NY
10572,NY
23009,VA
4476,ME
43220,OH
67443,KS
70757,LA
42286,KY
8853,NJ
94590,CA
98953,WA
88584,TX
94406,CA
53114,WI
95914,CA
62314,IL
56479,MN
95412,CA
71111,LA
11535,NY
55324,MN
79845,TX
6337,CT
55803,MN
93121,CA
51532,IA
33329,FL
1337,MA
61115,IL
65627,MO
45874,OH
32067,FL
63758,MO
71973,AR
56389,MN
97232,OR
27212,NC
13420,NY
46407,IN
63670,MO
37237,TN
38554,TN
50264,IA
48330,MI
20645,MD
49614,MI
54151,WI
70072,LA
10913,NY
2826,RI
72719,AR
75462,TX
62310,IL
71656,AR
44235,OH
54943,WI
26717,WV
72516,AR
25335,WV
87735,NM
21915,MD
18088,PA
12110,NY
48865,MI
28217,NC
11967,NY
54644,WI
23851,VA
57036,SD
8081,NJ
6114,CT
64187,MO
48231,MI
49621,MI
4947,ME
78677,TX
53010,WI
96858,HI
83333,ID
53919,WI
48802,MI
6721,CT
36641,AL
38474,TN
63122,MO
20035,DC
3073,NH
76935,TX
93716,CA
83543,ID
48555,MI
95816,CA
24416,VA
93256,CA
60123,IL
68659,NE
10270,NY
10704,NY
41377,KY
79091,TX
54654,WI
61108,IL
47537,IN
2269,MA
73844,OK
24701,WV
28080,NC
55769,MN
68634,NE
95917,CA
25046,WV
6387,CT
35448,AL
56083,MN
49310,MI
38070,TN
35229,AL
74951,OK
43527,OH
92198,CA
21762,MD
4668,ME
71431,LA
19936,DE
62919,IL
98239,WA
98605,WA
72428,AR
82321,WY
72908,AR
55732,MN
14432,NY
43211,OH
35475,AL
3105,NH
15644,PA
44052,OH
76667,TX
25414,WV
42323,KY
22715,VA
49815,MI
2839,RI
80816,CO
53575,WI
77274,TX
51045,IA
22437,VA
75832,TX
39336,MS
59524,MT
74467,OK
65773,MO
61266,IL
40026,KY
13037,NY
38650,MS
8848,NJ
49038,MI
83860,ID
56341,MN
74033,OK
26033,WV
36728,AL
4349,ME
45166,OH
26547,WV
86322,AZ
29305,SC
30619,GA
31296,GA
44621,OH
30911,GA
75076,TX
80047,CO
36856,AL
44507,OH
90047,CA
87310,NM
89131,NV
96847,HI
16172,PA
4860,ME
52159,IA
85369,AZ
40803,KY
62247,IL
51654,IA
37243,TN
32920,FL
39045,MS
87544,NM
46926,IN
98041,WA
33681,FL
33407,FL
87113,NM
38047,TN
82450,WY
17769,PA
97070,OR
19510,PA
3245,NH
68113,NE
97407,OR
33765,FL
54614,WI
8026,NJ
63848,MO
41815,KY
44654,OH
23409,VA
2337,MA
76193,TX
96051,CA
36759,AL
6605,CT
65340,MO
92571,CA
21755,MD
2032,MA
85533,AZ
32139,FL
66864,KS
90660,CA
11565,NY
98935,WA
42236,KY
7670,NJ
29914,SC
33061,FL
64085,MO
45348,OH
68880,NE
86333,AZ
4430,ME
60040,IL
95367,CA
90001,CA
32246,FL
28379,NC
92728,CA
45385,OH
91733,CA
85617,AZ
1535,MA
49625,MI
58231,ND
17878,PA
47906,IN
65239,MO
55941,MN
62830,IL
37752,TN
65212,MO
71455,LA
45360,OH
11360,NY
77855,TX
36616,AL
27007,NC
22009,VA
80632,CO
48167,MI
17003,PA
52147,IA
92014,CA
37725,TN
98819,WA
1831,MA
25716,WV
63032,MO
14623,NY
39066,MS
13608,NY
88582,TX
50609,IA
98381,WA
67423,KS
44491,OH
45674,OH
27853,NC
14610,NY
44440,OH
28260,NC
25846,WV
40913,KY
24062,VA
99223,WA
85311,AZ
20660,MD
63661,MO
14714,NY
87710,NM
58208,ND
43464,OH
65026,MO
2477,MA
15658,PA
29384,SC
64484,MO
50582,IA
7015,NJ
62967,IL
62536,IL
35289,AL
67572,KS
95036,CA
40506,KY
96828,HI
6254,CT
72431,AR
39043,MS
1830,MA
59756,MT
35775,AL
78261,TX
32957,FL
61401,IL
44032,OH
78788,TX
98513,WA
97413,OR
30277,GA
72921,AR
95910,CA
47634,IN
87742,NM
95610,CA
64458,MO
7853,NJ
60101,IL
62880,IL
55170,MN
49634,MI
17968,PA
63344,MO
47848,IN
48260,MI
79904,TX
93558,CA
11931,NY
4037,ME
50514,IA
73194,OK
68636,NE
66442,KS
45440,OH
2747,MA
52171,IA
76015,TX
50263,IA
19964,DE
46772,IN
67442,KS
35279,AL
98840,WA
99505,AK
4216,ME
43359,OH
48435,MI
94963,CA
40972,KY
45226,OH
23103,VA
43323,OH
56256,MN
5443,VT
87026,NM
84664,UT
97454,OR
84772,UT
45622,OH
78249,TX
50843,IA
16833,PA
28406,NC
95052,CA
48421,MI
55438,MN
60515,IL
4074,ME
1440,MA
40361,KY
95156,CA
12512,NY
1040,MA
29047,SC
44272,OH
95201,CA
98279,WA
16669,PA
17322,PA
54669,WI
16852,PA
58069,ND
39302,MS
41183,KY
47392,IN
72865,AR
81054,CO
60940,IL
50558,IA
38351,TN
37872,TN
15541,PA
65565,MO
70178,LA
55783,MN
44437,OH
24822,WV
78466,TX
95536,CA
57643,SD
74428,OK
15327,PA
79086,TX
27976,NC
63845,MO
22640,VA
54643,WI
74745,OK
81154,CO
74529,OK
82711,WY
48670,MI
36010,AL
18458,PA
40360,KY
16364,PA
15239,PA
25919,WV
51446,IA
32819,FL
18051,PA
13334,NY
46303,IN
29728,SC
60608,IL
69218,NE
20207,DC
53540,WI
57371,SD
49617,MI
23486,VA
58425,ND
20635,MD
27013,NC
19481,PA
62864,IL
65608,MO
27910,NC
84746,UT
77861,TX
70534,LA
84302,UT
7721,NJ
81052,CO
20850,MD
52549,IA
90013,CA
8812,NJ
15437,PA
7830,NJ
90249,CA
61272,IL
77614,TX
98588,WA
85350,AZ
87747,NM
56473,MN
23149,VA
28358,NC
41386,KY
46375,IN
77453,TX
64671,MO
92415,CA
28307,NC
18343,PA
81301,CO
1331,MA
15757,PA
37737,TN
83402,ID
75440,TX
78725,TX
25707,WV
79527,TX
94569,CA
55716,MN
70150,LA
95444,CA
64784,MO
76534,TX
20026,DC
91607,CA
32228,FL
10196,NY
7843,NJ
45697,OH
18918,PA
97534,OR
77522,TX
12842,NY
16131,PA
15612,PA
26431,WV
11223,NY
66040,KS
61862,IL
68826,NE
90601,CA
56673,MN
50522,IA
21862,MD
62955,IL
91745,CA
2479,MA
59773,MT
32343,FL
16132,PA
47575,IN
55031,MN
50168,IA
56295,MN
33633,FL
38763,MS
6040,CT
84338,UT
23398,VA
2877,RI
36561,AL
18921,PA
70660,LA
24221,VA
18425,PA
8854,NJ
87181,NM
7839,NJ
59026,MT
33199,FL
20916,MD
38965,MS
88004,NM
21088,MD
8250,NJ
95943,CA
16016,PA
79834,TX
74335,OK
49615,MI
57329,SD
23830,VA
12405,NY
77806,TX
97539,OR
55410,MN
35033,AL
59274,MT
31733,GA
76031,TX
43609,OH
75483,TX
17575,PA
59865,MT
65076,MO
28360,NC
77451,TX
34133,FL
37048,TN
56176,MN
10589,NY
48843,MI
4538,ME
28814,NC
12801,NY
28509,NC
43782,OH
17254,PA
73185,OK
87935,NM
50136,IA
42039,KY
6263,CT
16248,PA
94955,CA
55088,MN
93007,CA
27152,NC
4965,ME
92232,CA
88136,NM
29290,SC
45642,OH
42374,KY
49409,MI
68531,NE
78842,TX
27283,NC
1523,MA
30031,GA
35293,AL
17108,PA
60173,IL
33109,FL
76485,TX
50650,IA
97841,OR
87732,NM
88567,TX
47928,IN
56072,MN
46162,IN
61236,IL
91931,CA
15558,PA
58718,ND
38379,TN
21078,MD
20137,VA
46968,IN
10017,NY
75312,TX
98382,WA
85334,AZ
22960,VA
15358,PA
48849,MI
66551,KS
48728,MI
18212,PA
74465,OK
67646,KS
56235,MN
22002,VA
49525,MI
77845,TX
65667,MO
63967,MO
84315,UT
30331,GA
46113,IN
41003,KY
84643,UT
37701,TN
67154,KS
7728,NJ
94283,CA
44811,OH
10268,NY
70811,LA
69036,NE
96029,CA
15431,PA
72005,AR
44471,OH
79085,TX
41074,KY
98260,WA
7093,NJ
92871,CA
32715,FL
21284,MD
14853,NY
4088,ME
36445,AL
99721,AK
53098,WI
20777,MD
56280,MN
52157,IA
94160,CA
60117,IL
25260,WV
14029,NY
95981,CA
23089,VA
14882,NY
40004,KY
48054,MI
77580,TX
55106,MN
18342,PA
74752,OK
36123,AL
84171,UT
18059,PA
25839,WV
82072,WY
27020,NC
77077,TX
61775,IL
16553,PA
63448,MO
3887,NH
24603,VA
58377,ND
61942,IL
51334,IA
60026,IL
95226,CA
75556,TX
30605,GA
64801,MO
33051,FL
93760,CA
11739,NY
19153,PA
37819,TN
72904,AR
64120,MO
19938,DE
27879,NC
71030,LA
31814,GA
95211,CA
93902,CA
33965,FL
15502,PA
75146,TX
90652,CA
95205,CA
76651,TX
64625,MO
54430,WI
91202,CA
66724,KS
71280,LA
53793,WI
69026,NE
2452,MA
88346,NM
5482,VT
75422,TX
18913,PA
60560,IL
46220,IN
77065,TX
60147,IL
20075,DC
43522,OH
39648,MS
53016,WI
43617,OH
11425,NY
13678,NY
63738,MO
68937,NE
46165,IN
68315,NE
48264,MI
83869,ID
44721,OH
66422,KS
91050,CA
40250,KY
27510,NC
95630,CA
1005,MA
72303,AR
16611,PA
91502,CA
95722,CA
23395,VA
29171,SC
97208,OR
45404,OH
2148,MA
18243,PA
21922,MD
57064,SD
44843,OH
47143,IN
46825,IN
46895,IN
36630,AL
75241,TX
17129,PA
90605,CA
77986,TX
78833,TX
49072,MI
84309,UT
85636,AZ
65284,MO
78461,TX
71050,LA
56170,MN
95899,CA
92620,CA
23894,VA
50394,IA
88051,NM
49863,MI
95698,CA
89009,NV
32313,FL
54025,WI
45787,OH
63012,MO
30631,GA
41740,KY
97902,OR
32854,FL
14728,NY
52337,IA
73521,OK
57628,SD
32159,FL
63144,MO
95375,CA
65016,MO
49673,MI
57472,SD
66951,KS
30663,GA
28232,NC
15325,PA
28031,NC
56710,MN
41238,KY
49874,MI
1760,MA
70038,LA
81615,CO
76877,TX
28646,NC
36865,AL
54864,WI
22463,VA
15030,PA
65043,MO
27373,NC
65231,MO
42419,KY
43406,OH
84106,UT
23324,VA
16512,PA
21201,MD
57341,SD
98064,WA
67410,KS
62558,IL
28749,NC
6921,CT
99210,WA
8541,NJ
74136,OK
66223,KS
65066,MO
80264,CO
49765,MI
8317,NJ
85064,AZ
71277,LA
10455,NY
54485,WI
3581,NH
28020,NC
32327,FL
50545,IA
25413,WV
61710,IL
48234,MI
